Account,Day,Details,Amount,Balance
Lily Barton (Katalytica Daily Wage),19,Wage,-387.0,11813.28
Tommy Brooks (Karbucks Daily Wage),19,Wage,-44.0,11769.28
Katalytica Revenue,19,Revenue,770.0,12529.8
Karbucks Revenue,19,Revenue,468.03,12946.27
Lily Barton (Katalytica Daily Wage),20,Wage,-387.0,9462.279
Tommy Brooks (Karbucks Daily Wage),20,Wage,-44.0,9418.279
Katalytica Revenue,20,Revenue,770.0,10178.8
Karbucks Revenue,20,Revenue,377.02,10491.93
Lily Barton (Katalytica Daily Wage),21,Wage,-387.0,10104.93
Tommy Brooks (Karbucks Daily Wage),21,Wage,-44.0,10060.93
Katalytica Revenue,21,Revenue,770.0,10821.46
Karbucks Revenue,21,Revenue,710.06,11467.63
Evie Jones (Katalytica Daily Wage),22,Wage,-504.0,4497.877
Zoe Gomez (Karbucks Daily Wage),22,Wage,-160.0,4337.877
Tommy Brooks (Karbucks Daily Wage),22,Wage,-44.0,4293.877
Katalytica Revenue,22,Revenue,770.0,4585.398
Karbucks Revenue,22,Revenue,569.21,5014.73
Evie Jones (Katalytica Daily Wage),23,Wage,-504.0,24201.81
Katalytica Revenue,23,Revenue,770.0,24370.33
Evie Jones (Katalytica Daily Wage),24,Wage,-504.0,16608.55
Zoe Gomez (Karbucks Daily Wage),24,Wage,-128.0,16480.55
Tommy Brooks (Karbucks Daily Wage),24,Wage,-44.0,16436.55
Katherine Moss (Karbucks Daily Wage),24,Wage,-100.0,15744.55
Katalytica Revenue,24,Revenue,770.0,16505.07
Karbucks Revenue,24,Revenue,839.05,17204.25
Evie Jones (Katalytica Daily Wage),25,Wage,-504.0,25181.79
Tommy Brooks (Karbucks Daily Wage),25,Wage,-44.0,25137.79
Katherine Moss (Karbucks Daily Wage),25,Wage,-200.0,24345.79
Katalytica Revenue,25,Revenue,770.0,24969.51
Karbucks Revenue,25,Revenue,717.13,25546.77
Lily Barton (Katalytica Daily Wage),26,Wage,-387.0,18876.76
Zoe Gomez (Karbucks Daily Wage),26,Wage,-256.0,18620.76
Tommy Brooks (Karbucks Daily Wage),26,Wage,-44.0,18576.76
Katalytica Revenue,26,Revenue,770.0,18608.48
Karbucks Revenue,26,Revenue,268.2,18736.8
Lily Barton (Katalytica Daily Wage),27,Wage,-387.0,11678.85
Tommy Brooks (Karbucks Daily Wage),27,Wage,-44.0,11634.85
Katherine Moss (Karbucks Daily Wage),27,Wage,-200.0,11434.85
Katalytica Revenue,27,Revenue,770.0,12043.57
Karbucks Revenue,27,Revenue,910.63,12814.32
Lily Barton (Katalytica Daily Wage),28,Wage,-387.0,6728.51
Zoe Gomez (Karbucks Daily Wage),28,Wage,-160.0,6568.51
Tommy Brooks (Karbucks Daily Wage),28,Wage,-44.0,6524.51
Katherine Moss (Karbucks Daily Wage),28,Wage,-150.0,6374.51
Katalytica Revenue,28,Revenue,770.0,6953.231
Karbucks Revenue,28,Revenue,1267.97,8081.323
Katara Jewels Revenue,28,Revenue,648.0,8687.121
Evie Jones (Katalytica Daily Wage),29,Wage,-504.0,2878.221
Zoe Gomez (Karbucks Daily Wage),29,Wage,-288.0,2590.221
Tommy Brooks (Karbucks Daily Wage),29,Wage,-44.0,2546.221
Katalytica Revenue,29,Revenue,770.0,2480.442
Karbucks Revenue,29,Revenue,1065.77,3406.334
Katara Jewels Revenue,29,Revenue,1760.0,5124.132
Evie Jones (Katalytica Daily Wage),30,Wage,-504.0,4445.132
Zoe Gomez (Karbucks Daily Wage),30,Wage,-256.0,4189.132
Tommy Brooks (Karbucks Daily Wage),30,Wage,-44.0,4145.132
Katalytica Revenue,30,Revenue,791.0,4197.853
Karbucks Revenue,30,Revenue,959.48,5017.455
Katara Jewels Revenue,30,Revenue,960.0,5935.252
Evie Jones (Katalytica Daily Wage),31,Wage,-560.0,5184.252
Tommy Brooks (Karbucks Daily Wage),31,Wage,-44.0,5140.252
Katherine Moss (Karbucks Daily Wage),31,Wage,-200.0,4348.252
Katalytica Revenue,31,Revenue,904.0,5105.974
Karbucks Revenue,31,Revenue,856.75,5822.846
Katara Jewels Revenue,31,Revenue,825.0,6605.643
Evie Jones (Katalytica Daily Wage),32,Wage,-560.0,5870.643
Zoe Gomez (Karbucks Daily Wage),32,Wage,-192.0,5678.643
Tommy Brooks (Karbucks Daily Wage),32,Wage,-44.0,5634.643
Katherine Moss (Karbucks Daily Wage),32,Wage,-200.0,4842.643
Katalytica Revenue,32,Revenue,904.0,5600.365
Karbucks Revenue,32,Revenue,939.08,6399.566
Katara Jewels Revenue,32,Revenue,990.0,7347.364
Lily Barton (Katalytica Daily Wage),33,Wage,-430.0,1460.754
Zoe Gomez (Karbucks Daily Wage),33,Wage,-256.0,1204.754
Tommy Brooks (Karbucks Daily Wage),33,Wage,-44.0,1160.754
Katalytica Revenue,33,Revenue,904.0,1326.476
Karbucks Revenue,33,Revenue,962.34,2148.938
Katara Jewels Revenue,33,Revenue,1320.0,3426.735
Lily Barton (Katalytica Daily Wage),34,Wage,-430.0,2821.735
Tommy Brooks (Karbucks Daily Wage),34,Wage,-44.0,2777.735
Katherine Moss (Karbucks Daily Wage),34,Wage,-200.0,2577.735
Katalytica Revenue,34,Revenue,904.0,3335.456
Karbucks Revenue,34,Revenue,1040.72,4236.298
Katara Jewels Revenue,34,Revenue,1320.0,5514.095
Karbucks Revenue,55,Revenue,746.6,8060.218
Katara Jewels Revenue,55,Revenue,1032.0,9050.016
Lily Barton (Katalytica Daily Wage),56,Wage,-258.0,8611.016
Zoe Gomez (Karbucks Daily Wage),56,Wage,-160.0,8451.016
Tommy Brooks (Karbucks Daily Wage),56,Wage,-44.0,8407.016
Katherine Moss (Karbucks Daily Wage),56,Wage,-150.0,8257.016
Nathaniel Hill (Katara Jewels Daily Wage),56,Wage,-27.0,8230.016
Brian Barker (Katalytica Daily Wage),56,Wage,-804.0,7426.016
Katalytica Revenue,56,Revenue,920.0,8336.537
Karbucks Revenue,56,Revenue,789.2,8985.858
Katara Jewels Revenue,56,Revenue,1032.0,9975.655
Replacement for Evie Jones (Katalytica Wage),57,ReplacementWage,-980.0,8814.655
Zoe Gomez (Karbucks Daily Wage),57,Wage,-288.0,8526.655
Tommy Brooks (Karbucks Daily Wage),57,Wage,-44.0,8482.655
Nathaniel Hill (Katara Jewels Daily Wage),57,Wage,-216.0,7858.655
Katalytica Revenue,57,Revenue,920.0,8769.177
Karbucks Revenue,57,Revenue,804.6,9433.897
Katara Jewels Revenue,57,Revenue,516.0,9907.694
Evie Jones (Katalytica Daily Wage),58,Wage,-560.0,9358.694
Zoe Gomez (Karbucks Daily Wage),58,Wage,-256.0,9102.694
Tommy Brooks (Karbucks Daily Wage),58,Wage,-44.0,9058.694
Nathaniel Hill (Katara Jewels Daily Wage),58,Wage,-216.0,8434.694
Katalytica Revenue,58,Revenue,920.0,9345.216
Karbucks Revenue,58,Revenue,711.2,9916.537
Katara Jewels Revenue,58,Revenue,344.0,10218.33
Marketing campaigns for Katara Jewels,59,Marketing,-100.0,10135.33
Evie Jones (Katalytica Daily Wage),59,Wage,-560.0,9569.334
Tommy Brooks (Karbucks Daily Wage),59,Wage,-44.0,9525.334
Katherine Moss (Karbucks Daily Wage),59,Wage,-200.0,8917.334
Nathaniel Hill (Katara Jewels Daily Wage),59,Wage,-216.0,8701.334
Katalytica Revenue,59,Revenue,920.0,9611.855
Karbucks Revenue,59,Revenue,661.2,10133.18
Katara Jewels Revenue,59,Revenue,344.0,10434.97
Marketing campaigns for Katara Jewels,60,Marketing,-100.0,10159.97
Evie Jones (Katalytica Daily Wage),60,Wage,-280.0,10063.97
Lily Barton (Katalytica Daily Wage),60,Wage,-215.0,9848.974
Tommy Brooks (Karbucks Daily Wage),60,Wage,-44.0,9804.974
Katherine Moss (Karbucks Daily Wage),60,Wage,-200.0,9196.974
Nathaniel Hill (Katara Jewels Daily Wage),60,Wage,-216.0,8980.974
Katalytica Revenue,60,Revenue,920.0,9891.495
Karbucks Revenue,60,Revenue,659.0,10410.62
Katara Jewels Revenue,60,Revenue,516.0,10884.41
Marketing campaigns for Katara Jewels,61,Marketing,-100.0,10609.41
Lily Barton (Katalytica Daily Wage),61,Wage,-430.0,10173.41
Zoe Gomez (Karbucks Daily Wage),61,Wage,-256.0,9917.413
Tommy Brooks (Karbucks Daily Wage),61,Wage,-44.0,9873.413
Katalytica Revenue,61,Revenue,920.0,10375.93
Karbucks Revenue,61,Revenue,488.8,10724.86
Katara Jewels Revenue,61,Revenue,1032.0,11714.65
Marketing campaigns for Katara Jewels,62,Marketing,-100.0,11439.65
Lily Barton (Katalytica Daily Wage),62,Wage,-430.0,11203.65
Tommy Brooks (Karbucks Daily Wage),62,Wage,-44.0,11159.65
Katherine Moss (Karbucks Daily Wage),62,Wage,-200.0,10959.65
Nathaniel Hill (Katara Jewels Daily Wage),62,Wage,-216.0,10743.65
Katalytica Revenue,62,Revenue,920.0,11654.17
Karbucks Revenue,62,Revenue,635.0,12149.29
Katara Jewels Revenue,62,Revenue,860.0,12967.09
Marketing campaigns for Katara Jewels,63,Marketing,-100.0,8672.933
Evie Jones (Katalytica Daily Wage),63,Wage,-280.0,8586.933
Lily Barton (Katalytica Daily Wage),63,Wage,-215.0,8371.933
Zoe Gomez (Karbucks Daily Wage),63,Wage,-160.0,8211.933
Tommy Brooks (Karbucks Daily Wage),63,Wage,-44.0,8167.933
Katherine Moss (Karbucks Daily Wage),63,Wage,-150.0,8017.933
Nathaniel Hill (Katara Jewels Daily Wage),63,Wage,-216.0,7801.933
Katalytica Revenue,63,Revenue,920.0,8712.454
Karbucks Revenue,63,Revenue,959.7,9532.275
Katara Jewels Revenue,63,Revenue,1032.0,10522.07
Marketing campaigns for Katara Jewels,64,Marketing,-100.0,10247.07
Evie Jones (Katalytica Daily Wage),64,Wage,-560.0,9881.072
Zoe Gomez (Karbucks Daily Wage),64,Wage,-288.0,9593.072
Tommy Brooks (Karbucks Daily Wage),64,Wage,-44.0,9549.072
Nathaniel Hill (Katara Jewels Daily Wage),64,Wage,-216.0,8925.072
Katalytica Revenue,64,Revenue,920.0,9835.594
Karbucks Revenue,64,Revenue,735.3,10431.01
Katara Jewels Revenue,64,Revenue,1032.0,11420.81
Marketing campaigns for Katara Jewels,65,Marketing,-100.0,11145.81
Evie Jones (Katalytica Daily Wage),65,Wage,-560.0,10785.81
Zoe Gomez (Karbucks Daily Wage),65,Wage,-256.0,10529.81
Tommy Brooks (Karbucks Daily Wage),65,Wage,-44.0,10485.81
Nathaniel Hill (Katara Jewels Daily Wage),65,Wage,-216.0,9861.812
Katalytica Revenue,65,Revenue,936.0,10788.33
Karbucks Revenue,65,Revenue,791.6,11440.05
Katara Jewels Revenue,65,Revenue,516.0,11913.85
Marketing campaigns for Katara Jewels,66,Marketing,-100.0,11638.85
Evie Jones (Katalytica Daily Wage),66,Wage,-560.0,11136.85
Tommy Brooks (Karbucks Daily Wage),66,Wage,-44.0,11092.85
Katherine Moss (Karbucks Daily Wage),66,Wage,-200.0,10484.85
Nathaniel Hill (Katara Jewels Daily Wage),66,Wage,-216.0,10268.85
Katalytica Revenue,66,Revenue,936.0,11195.37
Karbucks Revenue,66,Revenue,814.4,11869.89
Katara Jewels Revenue,66,Revenue,516.0,12343.69
Marketing campaigns for Katara Jewels,67,Marketing,-100.0,12068.69
Evie Jones (Katalytica Daily Wage),67,Wage,-280.0,11988.69
Lily Barton (Katalytica Daily Wage),67,Wage,-215.0,11773.69
Tommy Brooks (Karbucks Daily Wage),67,Wage,-44.0,11729.69
Katherine Moss (Karbucks Daily Wage),67,Wage,-200.0,11121.69
Nathaniel Hill (Katara Jewels Daily Wage),67,Wage,-216.0,10905.69
Katalytica Revenue,67,Revenue,936.0,11832.21
Karbucks Revenue,67,Revenue,780.5,12472.83
Katara Jewels Revenue,67,Revenue,516.0,12946.63
Marketing campaigns for Katara Jewels,68,Marketing,-100.0,12671.63
Lily Barton (Katalytica Daily Wage),68,Wage,-430.0,12235.63
Zoe Gomez (Karbucks Daily Wage),68,Wage,-256.0,11979.63
Tommy Brooks (Karbucks Daily Wage),68,Wage,-44.0,11935.63
Katalytica Revenue,68,Revenue,936.0,12454.15
Karbucks Revenue,68,Revenue,969.2,13283.47
Katara Jewels Revenue,68,Revenue,1032.0,14273.27
Marketing campaigns for Katara Jewels,69,Marketing,-100.0,13998.27
Lily Barton (Katalytica Daily Wage),69,Wage,-430.0,13768.27
Tommy Brooks (Karbucks Daily Wage),69,Wage,-44.0,13724.27
Katherine Moss (Karbucks Daily Wage),69,Wage,-200.0,13524.27
Nathaniel Hill (Katara Jewels Daily Wage),69,Wage,-216.0,13308.27
Katalytica Revenue,69,Revenue,936.0,14234.79
Karbucks Revenue,69,Revenue,1099.1,15194.01
Katara Jewels Revenue,69,Revenue,1032.0,16183.81
Marketing campaigns for Katara Jewels,70,Marketing,-100.0,15908.81
Evie Jones (Katalytica Daily Wage),70,Wage,-280.0,3618.809
Lily Barton (Katalytica Daily Wage),70,Wage,-215.0,3403.809
Zoe Gomez (Karbucks Daily Wage),70,Wage,-160.0,3243.809
Tommy Brooks (Karbucks Daily Wage),70,Wage,-44.0,3199.809
Katherine Moss (Karbucks Daily Wage),70,Wage,-150.0,3049.809
Nathaniel Hill (Katara Jewels Daily Wage),70,Wage,-216.0,2833.809
Katalytica Revenue,70,Revenue,936.0,3760.33
Karbucks Revenue,70,Revenue,1589.2,5209.651
Katara Jewels Revenue,70,Revenue,1032.0,6199.449
Marketing campaigns for Katara Jewels,71,Marketing,-100.0,6081.449
Evie Jones (Katalytica Daily Wage),71,Wage,-560.0,5721.449
Zoe Gomez (Karbucks Daily Wage),71,Wage,-288.0,5433.449
Tommy Brooks (Karbucks Daily Wage),71,Wage,-44.0,5389.449
Nathaniel Hill (Katara Jewels Daily Wage),71,Wage,-216.0,4709.449
Katalytica Revenue,71,Revenue,936.0,5635.97
Karbucks Revenue,71,Revenue,1342.0,6838.092
Katara Jewels Revenue,71,Revenue,1032.0,7827.889
Marketing campaigns for Katara Jewels,72,Marketing,-100.0,7709.889
Evie Jones (Katalytica Daily Wage),72,Wage,-560.0,7341.889
Zoe Gomez (Karbucks Daily Wage),72,Wage,-256.0,7085.889
Tommy Brooks (Karbucks Daily Wage),72,Wage,-44.0,7041.889
Nathaniel Hill (Katara Jewels Daily Wage),72,Wage,-216.0,6417.889
Katalytica Revenue,72,Revenue,936.0,7344.411
Karbucks Revenue,72,Revenue,1035.9,8240.433
Katara Jewels Revenue,72,Revenue,516.0,8714.229
Marketing campaigns for Katara Jewels,73,Marketing,-100.0,4589.695
Evie Jones (Katalytica Daily Wage),73,Wage,-560.0,4143.695
Tommy Brooks (Karbucks Daily Wage),73,Wage,-44.0,4099.695
Katherine Moss (Karbucks Daily Wage),73,Wage,-200.0,3675.695
Nathaniel Hill (Katara Jewels Daily Wage),73,Wage,-216.0,3459.695
Katalytica Revenue,73,Revenue,936.0,4386.217
Karbucks Revenue,73,Revenue,1048.3,5294.639
Katara Jewels Revenue,73,Revenue,516.0,5768.436
Marketing campaigns for Katara Jewels,74,Marketing,-100.0,5650.436
Evie Jones (Katalytica Daily Wage),74,Wage,-280.0,5564.436
Lily Barton (Katalytica Daily Wage),74,Wage,-215.0,5349.436
Tommy Brooks (Karbucks Daily Wage),74,Wage,-44.0,5305.436
Katherine Moss (Karbucks Daily Wage),74,Wage,-200.0,4697.436
Nathaniel Hill (Katara Jewels Daily Wage),74,Wage,-216.0,4481.436
Katalytica Revenue,74,Revenue,936.0,5407.958
Karbucks Revenue,74,Revenue,913.8,6181.879
Katara Jewels Revenue,74,Revenue,516.0,6655.676
Marketing campaigns for Katara Jewels,75,Marketing,-100.0,6537.676
Lily Barton (Katalytica Daily Wage),75,Wage,-430.0,6101.676
Replacement for Zoe Gomez (Karbucks Wage),75,ReplacementWage,-320.0,5781.676
Replacement for Tommy Brooks (Karbucks Wage),75,ReplacementWage,-55.0,5726.676
Katalytica Revenue,75,Revenue,936.0,6245.198
Karbucks Revenue,75,Revenue,1210.2,7315.52
Katara Jewels Revenue,75,Revenue,8700.0,15973.32
Marketing campaigns for Katara Jewels,76,Marketing,-100.0,15855.32
Lily Barton (Katalytica Daily Wage),76,Wage,-430.0,33284.98
Tommy Brooks (Katalytica Daily Wage),76,Wage,-88.0,33196.98
Katherine Moss (Katara Jewels Daily Wage),76,Wage,-75.0,33121.98
Nathaniel Hill (Katara Jewels Daily Wage),76,Wage,-216.0,32905.98
Katalytica Revenue,76,Revenue,936.0,33832.5
Katara Jewels Revenue,76,Revenue,1032.0,34695.96
Marketing campaigns for Katara Jewels,77,Marketing,-100.0,3364.717
Evie Jones (Katalytica Daily Wage),77,Wage,-280.0,3078.717
Lily Barton (Katalytica Daily Wage),77,Wage,-215.0,2863.717
Tommy Brooks (Katalytica Daily Wage),77,Wage,-88.0,2775.717
Katherine Moss (Katara Jewels Daily Wage),77,Wage,-75.0,2700.717
Nathaniel Hill (Katara Jewels Daily Wage),77,Wage,-216.0,2484.717
Katalytica Revenue,77,Revenue,936.0,3411.238
Katara Jewels Revenue,77,Revenue,1032.0,4274.698
Marketing campaigns for Katara Jewels,78,Marketing,-100.0,4156.698
Evie Jones (Katalytica Daily Wage),78,Wage,-560.0,3796.698
Tommy Brooks (Katalytica Daily Wage),78,Wage,-88.0,3516.698
Replacement for Katherine Moss (Katara Jewels Wage),78,ReplacementWage,-93.75,3014.948
Nathaniel Hill (Katara Jewels Daily Wage),78,Wage,-216.0,2798.948
Katalytica Revenue,78,Revenue,936.0,3725.469
Katara Jewels Revenue,78,Revenue,1032.0,4588.93
Marketing campaigns for Katara Jewels,79,Marketing,-100.0,4470.93
Evie Jones (Katalytica Daily Wage),79,Wage,-560.0,4104.93
Zoe Gomez (Katara Jewels Daily Wage),79,Wage,-128.0,3976.93
Tommy Brooks (Katalytica Daily Wage),79,Wage,-88.0,3888.93
Katherine Moss (Katara Jewels Daily Wage),79,Wage,-100.0,3380.93
Katalytica Revenue,79,Revenue,936.0,4307.451
Marketing campaigns for Katara Jewels,80,Marketing,-100.0,4020.911
Marketing campaigns for Katara Jewels,80,Marketing,-500.0,3714.911
Evie Jones (Katalytica Daily Wage),80,Wage,-560.0,3154.911
Zoe Gomez (Katara Jewels Daily Wage),80,Wage,-192.0,2962.911
Tommy Brooks (Katalytica Daily Wage),80,Wage,-88.0,2874.911
Katherine Moss (Katara Jewels Daily Wage),80,Wage,-100.0,2366.911
Katalytica Revenue,80,Revenue,936.0,3293.432
Katara Jewels Revenue,80,Revenue,1892.0,5016.893
Marketing campaigns for Katara Jewels,81,Marketing,-600.0,4398.893
Evie Jones (Katalytica Daily Wage),81,Wage,-280.0,4318.893
Lily Barton (Katalytica Daily Wage),81,Wage,-215.0,4103.893
Zoe Gomez (Katara Jewels Daily Wage),81,Wage,-128.0,3975.893
Tommy Brooks (Katalytica Daily Wage),81,Wage,-66.0,3909.893
Katherine Moss (Katara Jewels Daily Wage),81,Wage,-100.0,3401.893
Katalytica Revenue,81,Revenue,936.0,4328.414
Katara Jewels Revenue,81,Revenue,2408.0,6567.874
Marketing campaigns for Katara Jewels,82,Marketing,-600.0,5949.874
Lily Barton (Katalytica Daily Wage),82,Wage,-430.0,5513.874
Zoe Gomez (Katara Jewels Daily Wage),82,Wage,-128.0,5385.874
Tommy Brooks (Katalytica Daily Wage),82,Wage,-88.0,5297.874
Katherine Moss (Katara Jewels Daily Wage),82,Wage,-150.0,4739.874
Katalytica Revenue,82,Revenue,936.0,5666.396
Katara Jewels Revenue,82,Revenue,8000.0,13497.86
Marketing campaigns for Katara Jewels,83,Marketing,-600.0,12879.86
Marketing campaigns for Katara Jewels,83,Marketing,-250.0,12562.86
Marketing campaigns for Katara Jewels,83,Marketing,-500.0,12062.86
Marketing campaigns for Katara Jewels,83,Marketing,-100.0,11962.86
Lily Barton (Katalytica Daily Wage),83,Wage,-430.0,11529.86
Zoe Gomez (Katara Jewels Daily Wage),83,Wage,-128.0,11401.86
Tommy Brooks (Katalytica Daily Wage),83,Wage,-88.0,11313.86
Katherine Moss (Katara Jewels Daily Wage),83,Wage,-100.0,11213.86
Katalytica Revenue,83,Revenue,945.0,12149.38
Katara Jewels Revenue,83,Revenue,2975.0,14955.84
Marketing campaigns for Katara Jewels,84,Marketing,-600.0,10092.97
Evie Jones (Katalytica Daily Wage),84,Wage,-280.0,9806.975
Lily Barton (Katalytica Daily Wage),84,Wage,-215.0,9591.975
Zoe Gomez (Katara Jewels Daily Wage),84,Wage,-128.0,9463.975
Tommy Brooks (Katalytica Daily Wage),84,Wage,-88.0,9375.975
Katherine Moss (Katara Jewels Daily Wage),84,Wage,-100.0,9275.975
Katalytica Revenue,84,Revenue,1200.0,10466.5
Katara Jewels Revenue,84,Revenue,2200.0,12497.96
Marketing campaigns for Katara Jewels,85,Marketing,-600.0,11879.96
Evie Jones (Katalytica Daily Wage),85,Wage,-560.0,11519.96
Zoe Gomez (Katara Jewels Daily Wage),85,Wage,-128.0,11391.96
Tommy Brooks (Katalytica Daily Wage),85,Wage,-88.0,11303.96
Katherine Moss (Katara Jewels Daily Wage),85,Wage,-100.0,10795.96
Katalytica Revenue,85,Revenue,960.0,11746.48
Katara Jewels Revenue,85,Revenue,1600.0,13177.94
Marketing campaigns for Katara Jewels,86,Marketing,-600.0,12559.94
Evie Jones (Katalytica Daily Wage),86,Wage,-560.0,12119.94
Zoe Gomez (Katara Jewels Daily Wage),86,Wage,-128.0,11991.94
Tommy Brooks (Katalytica Daily Wage),86,Wage,-88.0,11903.94
Katherine Moss (Katara Jewels Daily Wage),86,Wage,-100.0,11395.94
Katalytica Revenue,86,Revenue,960.0,12346.46
Katara Jewels Revenue,86,Revenue,1200.0,13377.92
Marketing campaigns for Katara Jewels,87,Marketing,-600.0,12759.92
Evie Jones (Katalytica Daily Wage),87,Wage,-560.0,7016.009
Zoe Gomez (Katara Jewels Daily Wage),87,Wage,-192.0,6824.009
Tommy Brooks (Katalytica Daily Wage),87,Wage,-88.0,6736.009
Katherine Moss (Katara Jewels Daily Wage),87,Wage,-100.0,6228.009
Katalytica Revenue,87,Revenue,960.0,7171.03
Katara Jewels Revenue,87,Revenue,1200.0,8138.17
Marketing campaigns for Katara Jewels,88,Marketing,-100.0,8020.17
Marketing campaigns for Elite Jewels,88,Marketing,-500.0,2287.17
Evie Jones (Katalytica Daily Wage),88,Wage,-280.0,2004.17
Lily Barton (Katalytica Daily Wage),88,Wage,-215.0,1789.17
Zoe Gomez (Katara Jewels Daily Wage),88,Wage,-128.0,1661.17
Tommy Brooks (Katalytica Daily Wage),88,Wage,-66.0,1595.17
Katherine Moss (Katara Jewels Daily Wage),88,Wage,-100.0,1087.17
Katalytica Revenue,88,Revenue,960.0,2037.692
Elite Jewels Revenue,88,Revenue,3810.0,5783.372
Katara Jewels Revenue,88,Revenue,600.0,6214.832
Marketing campaigns for Elite Jewels,89,Marketing,-500.0,5696.832
Marketing campaigns for Katara Jewels,89,Marketing,-100.0,5596.832
Lily Barton (Katalytica Daily Wage),89,Wage,-430.0,5160.832
Zoe Gomez (Katara Jewels Daily Wage),89,Wage,-128.0,5032.832
Tommy Brooks (Katalytica Daily Wage),89,Wage,-88.0,4944.832
Katherine Moss (Katara Jewels Daily Wage),89,Wage,-150.0,4386.832
Katalytica Revenue,89,Revenue,960.0,5337.354
Elite Jewels Revenue,89,Revenue,12000.0,17273.03
