Account,Day,Details,Amount,Balance,Transaction ID,Net Daily Revenue
Public parking for UMC Desert,6,PublicParking,-7.5,64698.73,,
41 3rd Street Rent,6,Rent,-13.54097,68170.06,,
37 3rd Street Rent,6,Rent,-9.478683,68525.83,,
Purchase from Square Appliances,6,ItemPurchase,-1875.0,66295.06,,
41 3rd Street Deposit,6,Deposit,-526.2292,68183.6,,
Marketing campaigns for Katalytica,6,Marketing,-500.0,68709.83,WK7WS,
37 3rd Street Rent,7,Rent,-9.478683,64689.25,,
41 3rd Street Rent,7,Rent,-13.54097,65359.71,,
Marketing campaigns for Katalytica,7,Marketing,-500.0,64859.71,WK7WS,
Lily Barton (Katalytica Daily Wage),7,Wage,-344.0,64515.71,WK7WS,
Katalytica Revenue,7,Revenue,684.0,65190.23,WK7WS,
Marketing campaigns for Katalytica,8,Marketing,-100.0,57907.25,WK7WS,
Katalytica Revenue,8,Revenue,684.0,29149.78,WK7WS,
Nancy Thompson (Katalytica Daily Wage),8,Wage,-424.0,28475.25,WK7WS,
Leon Nelson (Katalytica Daily Wage),8,Wage,-512.0,28899.25,WK7WS,
Evie Jones (Katalytica Daily Wage),8,Wage,-448.0,29411.25,WK7WS,1778.6
Purchase from AJ Pederson & Son,8,ItemPurchase,-470.0,29859.25,,2741.2
41 3rd Street Rent,8,Rent,-13.54097,65176.69,,2240.6
Purchase from AJ Pederson & Son,8,ItemPurchase,-20504.0,37403.25,,1975.2
Bank negative interest rate,8,BankNegativeInterestRate,-7169.436,58007.25,,1925.2
37 3rd Street Rent,8,Rent,-9.478683,64506.23,,2095.0
Purchase from AJ Pederson & Son,8,ItemPurchase,-7074.0,30329.25,,2440.8
Leon Nelson (Katalytica Daily Wage),9,Wage,-512.0,28076.23,WK7WS,2415.0
Katalytica Revenue,9,Revenue,684.0,28750.76,WK7WS,2911.7
Karbucks Revenue,9,Revenue,626.7,29363.91,19CI3,2687.3
Evie Jones (Katalytica Daily Wage),9,Wage,-448.0,28588.23,WK7WS,2243.6
41 3rd Street Rent,9,Rent,-13.54097,29136.23,,2266.4
37 3rd Street Rent,9,Rent,-9.478683,28465.78,,2232.5
Marketing campaigns for Katalytica,9,Marketing,-100.0,29036.23,WK7WS,2937.2
37 3rd Street Rent,10,Rent,-9.478683,28066.76,,3067.1
41 3rd Street Rent,10,Rent,-13.54097,28737.21,,3557.2
Marketing campaigns for Katalytica,10,Marketing,-100.0,29263.91,WK7WS,3310.0
Interior Designer,10,InteriorDesigner,-3840.0,25423.91,,2487.9
Evie Jones (Katalytica Daily Wage),10,Wage,-448.0,24975.91,WK7WS,2500.3
Leon Nelson (Katalytica Daily Wage),10,Wage,-512.0,24463.91,WK7WS,2365.8
Katalytica Revenue,10,Revenue,684.0,25138.44,WK7WS,10846.2
Karbucks Revenue,10,Revenue,595.2,25720.09,19CI3,1968.0
Katalytica Revenue,11,Revenue,684.0,23794.05,WK7WS,1968.0
Nancy Thompson (Katalytica Daily Wage),11,Wage,-424.0,23119.53,WK7WS,1968.0
Evie Jones (Katalytica Daily Wage),11,Wage,-448.0,23543.53,WK7WS,936.0
42 3rd Street Deposit,11,Deposit,-1230.692,23991.53,,2828.0
41 3rd Street Rent,11,Rent,-13.54097,25124.89,,3344.0
Purchase from NY Distro Inc,11,ItemPurchase,-317.8764,25302.22,,8936.0
Marketing campaigns for Katalytica,11,Marketing,-100.0,25620.09,WK7WS,3920.0
37 3rd Street Rent,11,Rent,-9.478683,24454.44,,3400.0
Purchase from Discount Market,11,ItemPurchase,-80.0,25222.22,,2560.0
Karbucks Revenue,11,Revenue,199.3,23941.78,19CI3,2160.0
Karbucks Revenue,12,Revenue,381.5,24478.24,19CI3,2160.0
Lily Barton (Katalytica Daily Wage),12,Wage,-344.0,23497.78,WK7WS,5370.0
Katalytica Revenue,12,Revenue,660.0,24148.3,WK7WS,14560.0
41 3rd Street Rent,12,Rent,-13.54097,23742.48,,10760.0
42 3rd Street Rent,12,Rent,-38.02306,23756.02,,2400.0
37 3rd Street Rent,12,Rent,-9.478683,23110.05,,14400.0
Marketing campaigns for Katalytica,12,Marketing,-100.0,23841.78,WK7WS,13560.0
37 3rd Street Rent,13,Rent,-9.478683,23488.3,,17560.0
42 3rd Street Rent,13,Rent,-38.02306,24110.28,,17560.0
41 3rd Street Rent,13,Rent,-13.54097,24096.74,,18160.0
Marketing campaigns for Katalytica,13,Marketing,-100.0,24378.24,WK7WS,18160.0
Lily Barton (Katalytica Daily Wage),13,Wage,-344.0,24034.24,WK7WS,12960.0
Katalytica Revenue,13,Revenue,660.0,24684.76,WK7WS,19400.0
Karbucks Revenue,13,Revenue,380.9,25014.1,19CI3,19160.0
Karbucks Revenue,14,Revenue,134.8,23208.71,19CI3,19160.0
Katalytica Revenue,14,Revenue,660.0,23125.47,WK7WS,19160.0
Lily Barton (Katalytica Daily Wage),14,Wage,-344.0,22474.95,WK7WS,19760.0
Purchase from NY Distro Inc,14,ItemPurchase,-495.0129,24018.95,,20720.0
Purchase from Square Appliances,14,ItemPurchase,-1200.0,22818.95,,12960.0
Marketing campaigns for Katalytica,14,Marketing,-100.0,24914.1,WK7WS,19160.0
41 3rd Street Rent,14,Rent,-13.54097,24633.2,,18960.0
42 3rd Street Rent,14,Rent,-38.02306,24646.74,,19160.0
37 3rd Street Rent,14,Rent,-9.478683,24024.76,,17560.0
Purchase from NY Distro Inc,14,ItemPurchase,-400.1318,24513.97,,17000.0
Katalytica Revenue,15,Revenue,660.0,22211.23,WK7WS,17000.0
Evie Jones (Katalytica Daily Wage),15,Wage,-448.0,21560.71,WK7WS,12000.0
Recruitment Campaign,15,RecruitmentCampaign,-100.0,22008.71,,16600.0
Recruitment Campaign,15,RecruitmentCampaign,-500.0,22108.71,,16600.0
Recruitment Campaign,15,RecruitmentCampaign,-500.0,22608.71,,16600.0
41 3rd Street Rent,15,Rent,-13.54097,23073.91,,17080.0
42 3rd Street Rent,15,Rent,-38.02306,23087.45,,17920.0
37 3rd Street Rent,15,Rent,-9.478683,22465.47,,18640.0
Karbucks Revenue,15,Revenue,269.4,22429.07,19CI3,13500.0
Marketing campaigns for Katalytica,15,Marketing,-100.0,23108.71,WK7WS,17950.0
Karbucks Revenue,16,Revenue,568.0,12724.03,19CI3,15350.0
Katalytica Revenue,16,Revenue,660.0,12207.59,WK7WS,17800.0
Evie Jones (Katalytica Daily Wage),16,Wage,-448.0,11781.07,WK7WS,17800.0
Euro Energy High investment,16,Investment,-10000.0,12229.07,,20000.0
Zoe Gomez (Karbucks Daily Wage),16,Wage,-224.0,11557.07,19CI3,19600.0
Marketing campaigns for Katalytica,16,Marketing,-100.0,22329.07,WK7WS,12400.0
41 3rd Street Rent,16,Rent,-13.54097,22159.67,,16400.0
42 3rd Street Rent,16,Rent,-38.02306,22173.21,,18650.0
37 3rd Street Rent,16,Rent,-9.478683,21551.23,,31900.0
Purchase from Square Appliances,16,ItemPurchase,-100.0,22229.07,,31500.0
Karbucks Revenue,17,Revenue,723.0,11948.43,19CI3,23800.0
Katalytica Revenue,17,Revenue,660.0,11276.99,WK7WS,17200.0
Public parking for UMC Desert,17,PublicParking,-5.0,10626.47,,15600.0
Tommy Brooks (Karbucks Daily Wage),17,Wage,-44.0,10631.47,19CI3,10000.0
Zoe Gomez (Karbucks Daily Wage),17,Wage,-256.0,10675.47,19CI3,10400.0
Evie Jones (Katalytica Daily Wage),17,Wage,-448.0,10931.47,WK7WS,9200.0
Marketing campaigns for Katalytica,17,Marketing,-100.0,12624.03,WK7WS,15485.0
Purchase from NY Distro Inc,17,ItemPurchase,-597.2781,11976.75,,18560.0
Recruitment Campaign,17,RecruitmentCampaign,-50.0,12574.03,,15760.0
41 3rd Street Rent,17,Rent,-13.54097,12156.03,,17760.0
42 3rd Street Rent,17,Rent,-38.02306,12169.57,,22870.0
37 3rd Street Rent,17,Rent,-9.478683,11547.59,,24870.0
Purchase from NY Distro Inc,17,ItemPurchase,-597.2781,11379.47,,24860.0
Katalytica Revenue,18,Revenue,660.0,11670.95,WK7WS,23500.0
Tommy Brooks (Karbucks Daily Wage),18,Wage,-44.0,11020.43,19CI3,24980.0
Zoe Gomez (Karbucks Daily Wage),18,Wage,-256.0,11064.43,19CI3,29570.0
Evie Jones (Katalytica Daily Wage),18,Wage,-448.0,11320.43,WK7WS,32805.0
Marketing campaigns for Katalytica,18,Marketing,-100.0,11848.43,WK7WS,24210.0
41 3rd Street Rent,18,Rent,-13.54097,11225.43,,23530.0
42 3rd Street Rent,18,Rent,-38.02306,11238.97,,24377.0
37 3rd Street Rent,18,Rent,-9.478683,10616.99,,25261.0
Purchase from Discount Market,18,ItemPurchase,-80.0,11768.43,,26151.0
Karbucks Revenue,18,Revenue,580.9,12200.28,19CI3,39187.0
Tommy Brooks (Karbucks Daily Wage),19,Wage,-44.0,11769.28,19CI3,40747.0
Karbucks Revenue,19,Revenue,468.03,12946.27,19CI3,29582.0
Katalytica Revenue,19,Revenue,770.0,12529.8,WK7WS,14261.0
37 3rd Street Rent,19,Rent,-9.478683,11010.95,,14603.0
41 3rd Street Rent,19,Rent,-13.54097,11619.38,,45192.0
42 3rd Street Rent,19,Rent,-38.02306,11632.92,,44406.0
Lily Barton (Katalytica Daily Wage),19,Wage,-387.0,11813.28,WK7WS,67394.0
Katalytica Revenue,20,Revenue,770.0,10178.8,WK7WS,60385.0
Tommy Brooks (Karbucks Daily Wage),20,Wage,-44.0,9418.279,19CI3,51729.0
Lily Barton (Katalytica Daily Wage),20,Wage,-387.0,9462.279,WK7WS,56602.0
Recruitment Campaign,20,RecruitmentCampaign,-1000.0,10349.28,,60702.0
Recruitment Campaign,20,RecruitmentCampaign,-500.0,9849.279,,52173.0
Recruitment Campaign,20,RecruitmentCampaign,-1000.0,11349.28,,57694.0
Karbucks Revenue,20,Revenue,377.02,10491.93,19CI3,79730.0
48 1st Street Rent,20,Rent,-12.32229,12474.28,,78766.0
48 1st Street Deposit,20,Deposit,-459.6686,12486.6,,52415.0
41 3rd Street Rent,20,Rent,-13.54097,12478.24,,59798.0
42 3rd Street Rent,20,Rent,-38.02306,12491.78,,58502.0
37 3rd Street Rent,20,Rent,-9.478683,11759.8,,52391.0
Ticket for illegal parking of UMCDesert,20,ParkingTicket,-125.0,12349.28,,50242.0
Karbucks Revenue,21,Revenue,710.06,11467.63,19CI3,79730.0
Katalytica Revenue,21,Revenue,770.0,10821.46,WK7WS,71401.0
Tommy Brooks (Karbucks Daily Wage),21,Wage,-44.0,10060.93,19CI3,52199.0
Lily Barton (Katalytica Daily Wage),21,Wage,-387.0,10104.93,WK7WS,59627.0
41 3rd Street Rent,21,Rent,-13.54097,10114.91,,50725.0
42 3rd Street Rent,21,Rent,-38.02306,10128.46,,71941.0
48 1st Street Rent,21,Rent,-12.32229,10166.48,,100178.0
37 3rd Street Rent,21,Rent,-9.478683,9408.801,,117168.0
Karbucks Revenue,22,Revenue,569.21,5014.73,19CI3,113494.0
Public parking for UMC Desert,22,PublicParking,-15.0,3824.877,,176179.0
Lewis Morris (KaraKata Holdings Daily Wage),22,Wage,-46.0,3839.877,,173083.0
Merit Johnson (KaraKata Holdings Daily Wage),22,Wage,-224.0,3885.877,,153108.0
Christian Hall (KaraKata Holdings Daily Wage),22,Wage,-184.0,4109.877,,174836.0
Tommy Brooks (Karbucks Daily Wage),22,Wage,-44.0,4293.877,19CI3,187070.0
Zoe Gomez (Karbucks Daily Wage),22,Wage,-160.0,4337.877,19CI3,131439.0
Evie Jones (Katalytica Daily Wage),22,Wage,-504.0,4497.877,WK7WS,215959.0
Katalytica Revenue,22,Revenue,770.0,4585.398,WK7WS,175556.0
59 3rd Street Deposit,22,Deposit,-2819.759,5077.869,,178581.0
Purchase from Square Appliances,22,ItemPurchase,-2370.0,7897.628,,152554.0
Purchase from Mr. Scott's Office Supplies,22,ItemPurchase,-1200.0,10267.63,,176310.0
41 3rd Street Rent,22,Rent,-13.54097,10757.57,,
42 3rd Street Rent,22,Rent,-38.02306,10771.11,,
48 1st Street Rent,22,Rent,-12.32229,10809.13,,
37 3rd Street Rent,22,Rent,-9.478683,10051.46,,
59 3rd Street Rent,22,Rent,-75.99196,5001.877,,
Katalytica Revenue,23,Revenue,770.0,24370.33,WK7WS,
Lewis Morris (KaraKata Holdings Daily Wage),23,Wage,-184.0,23609.81,,
Merit Johnson (KaraKata Holdings Daily Wage),23,Wage,-224.0,23793.81,,206571.0
Christian Hall (KaraKata Holdings Daily Wage),23,Wage,-184.0,24017.81,,243339.0
Evie Jones (Katalytica Daily Wage),23,Wage,-504.0,24201.81,WK7WS,228071.0
Purchase from NY Distro Inc,23,ItemPurchase,-308.9209,24705.81,,187112.0
Jensen Capital Loan Payout,23,LoanPayout,20000.0,25014.73,,197792.0
59 3rd Street Rent,23,Rent,-75.99196,4459.061,,167786.0
42 3rd Street Rent,23,Rent,-38.02306,4535.053,,204988.0
48 1st Street Rent,23,Rent,-12.32229,4573.076,,232835.0
37 3rd Street Rent,23,Rent,-9.478683,3815.398,,252677.0
41 3rd Street Rent,23,Rent,-13.54097,4445.52,,237010.0
Zoe Gomez (Karbucks Daily Wage),24,Wage,-128.0,16480.55,19CI3,209552.0
Karbucks Revenue,24,Revenue,839.05,17204.25,19CI3,202190.0
Katalytica Revenue,24,Revenue,770.0,16505.07,WK7WS,163712.0
Lewis Morris (KaraKata Holdings Daily Wage),24,Wage,-184.0,15844.55,,212634.0
Merit Johnson (KaraKata Holdings Daily Wage),24,Wage,-224.0,16028.55,,234669.0
Christian Hall (KaraKata Holdings Daily Wage),24,Wage,-184.0,16252.55,,264508.0
Tommy Brooks (Karbucks Daily Wage),24,Wage,-44.0,16436.55,19CI3,245668.0
Evie Jones (Katalytica Daily Wage),24,Wage,-504.0,16608.55,WK7WS,214137.0
Katherine Moss (Karbucks Daily Wage),24,Wage,-100.0,15744.55,19CI3,217224.0
UMC Desert,24,VehicleBought,-6000.0,17130.45,,162576.0
37 3rd Street Rent,24,Rent,-9.478683,23600.33,,213347.0
Purchase from Kabob's Kebabs,24,ItemPurchase,-17.9,17112.55,,215872.0
42 3rd Street Rent,24,Rent,-38.02306,24319.99,,267006.0
48 1st Street Rent,24,Rent,-12.32229,24358.01,,300436.0
41 3rd Street Rent,24,Rent,-13.54097,24230.45,,372902.0
Jensen Capital Loan Payment,24,LoanPayment,-100.0,24130.45,,347353.9
Recruitment Campaign,24,RecruitmentCampaign,-1000.0,23130.45,,297763.0
59 3rd Street Rent,24,Rent,-75.99196,24243.99,,351829.6
Karbucks Revenue,25,Revenue,717.13,25546.77,19CI3,396973.0
Tommy Brooks (Karbucks Daily Wage),25,Wage,-44.0,25137.79,19CI3,446432.0
Nicholas Torres (Warehouse #1 Daily Wage),25,Wage,-136.8,24208.99,,324787.0
Katherine Moss (Karbucks Daily Wage),25,Wage,-200.0,24345.79,19CI3,396701.0
Lewis Morris (KaraKata Holdings Daily Wage),25,Wage,-184.0,24545.79,,269412.0
Merit Johnson (KaraKata Holdings Daily Wage),25,Wage,-224.0,24729.79,,337019.0
Christian Hall (KaraKata Holdings Daily Wage),25,Wage,-184.0,24953.79,,374775.0
Evie Jones (Katalytica Daily Wage),25,Wage,-504.0,25181.79,WK7WS,439332.0
Katalytica Revenue,25,Revenue,770.0,24969.51,WK7WS,195280.0
Jensen Capital Loan Payout,25,LoanPayout,15000.0,26104.25,,298900.0
48 1st Street Rent,25,Rent,-12.32229,16492.75,,371609.0
42 3rd Street Rent,25,Rent,-38.02306,16454.73,,376188.0
59 3rd Street Rent,25,Rent,-75.99196,16378.74,,305453.0
37 3rd Street Rent,25,Rent,-9.478683,15735.07,,356334.0
Jensen Capital Loan Payment,25,LoanPayment,-100.0,17104.25,,402095.0
Purchase from AJ Pederson & Son,25,ItemPurchase,-6000.0,11104.25,,491121.0
41 3rd Street Rent,25,Rent,-13.54097,16365.2,,475032.0
Purchase from NY Distro Inc,25,ItemPurchase,-418.4532,25685.79,,434702.0
Karbucks Revenue,26,Revenue,268.2,18736.8,19CI3,319355.0
Zoe Gomez (Karbucks Daily Wage),26,Wage,-256.0,18620.76,19CI3,
Katalytica Revenue,26,Revenue,770.0,18608.48,WK7WS,
Nicholas Torres (Warehouse #1 Daily Wage),26,Wage,-136.8,17847.96,,
Lewis Morris (KaraKata Holdings Daily Wage),26,Wage,-184.0,17984.76,,
Merit Johnson (KaraKata Holdings Daily Wage),26,Wage,-224.0,18168.76,,
Christian Hall (KaraKata Holdings Daily Wage),26,Wage,-184.0,18392.76,,
Tommy Brooks (Karbucks Daily Wage),26,Wage,-44.0,18576.76,19CI3,
Lily Barton (Katalytica Daily Wage),26,Wage,-387.0,18876.76,WK7WS,
Jensen Capital Loan Payment,26,LoanPayment,-100.0,19338.76,,393038.0
Delivery from SeaSide Internationals,26,ImportDelivery,-6108.007,19438.76,,472400.5
41 3rd Street Rent,26,Rent,-13.54097,24829.63,,522800.0
59 3rd Street Rent,26,Rent,-75.99196,24843.18,,505535.0
42 3rd Street Rent,26,Rent,-38.02306,24919.17,,441381.5
48 1st Street Rent,26,Rent,-12.32229,24957.19,,401864.5
Jensen Capital Loan Payment,26,LoanPayment,-75.0,19263.76,,366730.5
37 3rd Street Rent,26,Rent,-9.478683,24199.51,,411789.0
Purchase from Square Appliances,27,ItemPurchase,-1200.0,12065.85,,470335.0
Lily Barton (Katalytica Daily Wage),27,Wage,-387.0,11678.85,WK7WS,535119.5
Tommy Brooks (Karbucks Daily Wage),27,Wage,-44.0,11634.85,19CI3,504155.0
Katalytica Revenue,27,Revenue,770.0,12043.57,WK7WS,434913.0
Nicholas Torres (Warehouse #1 Daily Wage),27,Wage,-136.8,11298.05,,416756.0
Public parking for UMC Desert,27,PublicParking,-15.0,11283.05,,360546.0
Karbucks Revenue,27,Revenue,910.63,12814.32,19CI3,413409.0
Euro Energy High payout,27,InvestmentPayout,9926.334,13265.85,,473808.0
Katherine Moss (Karbucks Daily Wage),27,Wage,-200.0,11434.85,19CI3,538084.0
7 3rd Avenue Rent,27,Rent,-42.2027,3339.515,,502657.0
59 3rd Street Rent,27,Rent,-75.99196,18482.14,,422566.0
Purchase from AJ Pederson & Son,27,ItemPurchase,-2300.0,4767.799,,398082.0
37 3rd Street Rent,27,Rent,-9.478683,17838.48,,339665.0
42 3rd Street Rent,27,Rent,-38.02306,18558.13,,416661.0
41 3rd Street Rent,27,Rent,-13.54097,18468.6,,471869.0
48 1st Street Rent,27,Rent,-12.32229,18596.16,,520682.0
Jensen Capital Loan Payment,27,LoanPayment,-75.0,18561.8,,554260.0
Purchase from NY Distro Inc,27,ItemPurchase,-144.0,18417.8,,473717.0
Purchase from AJ Pederson & Son,27,ItemPurchase,-11350.0,7067.799,,451422.0
Jensen Capital Loan Payment,27,LoanPayment,-100.0,18636.8,,393327.0
7 3rd Avenue Deposit,27,Deposit,-1386.081,3381.718,,448380.0
Katara Jewels Revenue,28,Revenue,648.0,8687.121,4PGM3,509262.0
Karbucks Revenue,28,Revenue,1267.97,8081.323,19CI3,575777.0
Lily Barton (Katalytica Daily Wage),28,Wage,-387.0,6728.51,WK7WS,541086.0
Katalytica Revenue,28,Revenue,770.0,6953.231,WK7WS,468414.0
Public parking for UMC Desert,28,PublicParking,-45.0,6192.71,,433784.0
Nicholas Torres (Warehouse #1 Daily Wage),28,Wage,-136.8,6237.71,,378753.0
Katherine Moss (Karbucks Daily Wage),28,Wage,-150.0,6374.51,19CI3,464463.0
Tommy Brooks (Karbucks Daily Wage),28,Wage,-44.0,6524.51,19CI3,509271.0
Zoe Gomez (Karbucks Daily Wage),28,Wage,-160.0,6568.51,19CI3,601859.0
Purchase from IKA BOHAG,28,ItemPurchase,-80.0,7115.51,,
Jensen Capital Loan Payment,28,LoanPayment,-75.0,7339.51,,
Jensen Capital Loan Payment,28,LoanPayment,-100.0,7414.51,,
Delivery from United Ocean Import ,28,ImportDelivery,-5257.609,7514.51,,
7 3rd Avenue Rent,28,Rent,-42.2027,12772.12,,497260.0
41 3rd Street Rent,28,Rent,-13.54097,11903.69,,541692.0
59 3rd Street Rent,28,Rent,-75.99196,11917.23,,581261.0
42 3rd Street Rent,28,Rent,-38.02306,11993.23,,600047.0
48 1st Street Rent,28,Rent,-12.32229,12031.25,,530239.0
Purchase from NY Distro Inc,28,ItemPurchase,-144.0,7195.51,,500602.0
37 3rd Street Rent,28,Rent,-9.478683,11273.57,,438805.0
Zoe Gomez (Karbucks Daily Wage),29,Wage,-288.0,2590.221,19CI3,510519.0
Tommy Brooks (Karbucks Daily Wage),29,Wage,-44.0,2546.221,19CI3,576397.0
Christian Hall (KaraKata Holdings Daily Wage),29,Wage,-184.0,2362.221,,646062.0
Katara Jewels Revenue,29,Revenue,1760.0,5124.132,4PGM3,627581.0
Public parking for UMC Desert,29,PublicParking,-97.5,1719.921,,506233.0
Lewis Morris (KaraKata Holdings Daily Wage),29,Wage,-184.0,1954.221,,507277.0
Nicholas Torres (Warehouse #1 Daily Wage),29,Wage,-136.8,1817.421,,475683.0
Katalytica Revenue,29,Revenue,770.0,2480.442,WK7WS,531877.0
Karbucks Revenue,29,Revenue,1065.77,3406.334,19CI3,597393.0
Merit Johnson (KaraKata Holdings Daily Wage),29,Wage,-224.0,2138.221,,673932.0
Evie Jones (Katalytica Daily Wage),29,Wage,-504.0,2878.221,WK7WS,643997.0
Interior Designer,29,InteriorDesigner,-160.0,3392.121,,628719.0
Interior Designer,29,InteriorDesigner,-4960.0,3552.121,,663362.0
37 3rd Street Rent,29,Rent,-9.478683,6183.231,,570926.0
48 1st Street Rent,29,Rent,-12.32229,6940.909,,655247.0
42 3rd Street Rent,29,Rent,-38.02306,6902.886,,713315.0
59 3rd Street Rent,29,Rent,-75.99196,6826.894,,799084.0
Purchase from The Busy Goat,29,ItemPurchase,-9.9,3382.221,,609652.0
7 3rd Avenue Rent,29,Rent,-42.2027,8039.121,,691806.0
Jensen Capital Loan Payment,29,LoanPayment,-100.0,8587.121,,678491.0
Jensen Capital Loan Payment,29,LoanPayment,-75.0,8512.121,,565127.0
41 3rd Street Rent,29,Rent,-13.54097,6813.353,,688267.0
Katara Jewels Revenue,30,Revenue,960.0,5935.252,4PGM3,681113.0
Zoe Gomez (Karbucks Daily Wage),30,Wage,-256.0,4189.132,19CI3,793926.0
Katalytica Revenue,30,Revenue,791.0,4197.853,WK7WS,677814.0
Nicholas Torres (Warehouse #1 Daily Wage),30,Wage,-136.8,3416.332,,742978.0
Lewis Morris (KaraKata Holdings Daily Wage),30,Wage,-184.0,3553.132,,711322.0
Merit Johnson (KaraKata Holdings Daily Wage),30,Wage,-224.0,3737.132,,608321.0
Christian Hall (KaraKata Holdings Daily Wage),30,Wage,-184.0,3961.132,,695023.0
Tommy Brooks (Karbucks Daily Wage),30,Wage,-44.0,4145.132,19CI3,759735.0
Karbucks Revenue,30,Revenue,959.48,5017.455,19CI3,882071.0
Evie Jones (Katalytica Daily Wage),30,Wage,-504.0,4445.132,WK7WS,708371.0
Jensen Capital Loan Payment,30,LoanPayment,-100.0,5024.132,,741269.0
7 3rd Avenue Rent,30,Rent,-42.2027,3364.132,,700657.0
41 3rd Street Rent,30,Rent,-13.54097,2340.564,,621101.0
59 3rd Street Rent,30,Rent,-75.99196,2354.105,,727171.0
37 3rd Street Rent,30,Rent,-9.478683,1710.443,,796850.0
42 3rd Street Rent,30,Rent,-38.02306,2430.097,,900478.0
Jensen Capital Loan Payment,30,LoanPayment,-75.0,4949.132,,734057.0
48 1st Street Rent,30,Rent,-12.32229,2468.12,,765257.0
Christian Hall (KaraKata Holdings Daily Wage),31,Wage,-184.0,4956.252,,727650.0
Merit Johnson (KaraKata Holdings Daily Wage),31,Wage,-224.0,4732.252,,623817.0
Katalytica Revenue,31,Revenue,904.0,5105.974,WK7WS,722823.0
Nicholas Torres (Warehouse #1 Daily Wage),31,Wage,-136.8,4211.453,,807027.0
Karbucks Revenue,31,Revenue,856.75,5822.846,19CI3,914689.0
Katara Jewels Revenue,31,Revenue,825.0,6605.643,4PGM3,746538.0
Tommy Brooks (Karbucks Daily Wage),31,Wage,-44.0,5140.252,19CI3,762214.0
Lewis Morris (KaraKata Holdings Daily Wage),31,Wage,-184.0,4548.252,,726328.0
Evie Jones (Katalytica Daily Wage),31,Wage,-560.0,5184.252,WK7WS,619749.0
Katherine Moss (Karbucks Daily Wage),31,Wage,-200.0,4348.252,19CI3,706139.0
Jensen Capital Loan Payment,31,LoanPayment,-75.0,5760.252,,802225.0
Jensen Capital Loan Payment,31,LoanPayment,-100.0,5835.252,,905476.0
